user_id;returned;prediction;probability
3640;0.0;1.0;0.57
3638;1.0;1.0;0.56
3630;0.0;0.0;0.01
3632;1.0;1.0;0.99
3634;0.0;0.0;0.0
3636;0.0;0.0;0.25
3650;0.0;0.0;0.0
2;0.0;0.0;0.25
4;0.0;0.0;0.0
6;0.0;0.0;0.0
8;0.0;0.0;0.0
3642;0.0;0.0;0.08
3644;0.0;0.0;0.0
3646;1.0;1.0;0.99
3648;0.0;0.0;0.0
3660;0.0;0.0;0.0
3662;0.0;0.0;0.0
1000;0.0;0.0;0.0
3652;0.0;1.0;0.6
3654;1.0;1.0;0.97
3656;0.0;0.0;0.0
3658;0.0;0.0;0.49
3670;0.0;0.0;0.25
3672;0.0;0.0;0.0
1010;0.0;0.0;0.05
1008;0.0;0.0;0.12
1006;0.0;0.0;0.0
1004;0.0;0.0;0.0
1002;0.0;0.0;0.34
3664;0.0;0.0;0.0
3666;0.0;0.0;0.01
3668;1.0;0.0;0.23
3680;1.0;1.0;0.81
3682;0.0;0.0;0.0
3684;1.0;1.0;0.99
1022;0.0;0.0;0.28
1020;0.0;0.0;0.01
1018;0.0;0.0;0.0
1016;0.0;0.0;0.0
1014;1.0;0.0;0.4
1012;0.0;0.0;0.0
3674;0.0;0.0;0.01
3676;0.0;0.0;0.09
3678;1.0;1.0;0.92
3690;0.0;0.0;0.0
3692;1.0;1.0;0.99
3694;1.0;0.0;0.38
1032;1.0;1.0;0.99
1030;1.0;1.0;0.63
1028;0.0;0.0;0.0
1026;1.0;1.0;0.56
1024;0.0;0.0;0.05
3686;1.0;1.0;0.95
3688;0.0;0.0;0.2
1044;1.0;1.0;0.75
1042;0.0;0.0;0.0
1040;1.0;0.0;0.19
1038;0.0;0.0;0.01
1036;0.0;0.0;0.01
1034;0.0;0.0;0.01
3696;0.0;0.0;0.01
3698;0.0;0.0;0.01
1054;0.0;0.0;0.0
1052;0.0;0.0;0.0
1050;0.0;0.0;0.01
1048;0.0;0.0;0.01
1046;0.0;0.0;0.01
24418;1.0;0.0;0.23
85370;0.0;0.0;0.0
73389;0.0;0.0;0.05
24410;0.0;1.0;0.74
1066;0.0;1.0;0.61
73387;0.0;0.0;0.0
24412;1.0;1.0;0.68
1064;0.0;0.0;0.24
73385;0.0;0.0;0.01
24414;0.0;0.0;0.16
1062;1.0;1.0;0.98
73383;0.0;0.0;0.0
24416;0.0;0.0;0.0
1060;0.0;0.0;0.0
73381;1.0;1.0;0.65
36407;1.0;1.0;0.63
36409;0.0;0.0;0.0
12438;1.0;1.0;0.99
1058;0.0;0.0;0.09
1056;0.0;0.0;0.0
12432;1.0;1.0;0.78
85378;0.0;0.0;0.01
36401;0.0;0.0;0.23
12430;1.0;1.0;0.99
85376;0.0;0.0;0.3
36403;0.0;0.0;0.0
12436;1.0;1.0;0.82
85374;0.0;0.0;0.0
36405;1.0;0.0;0.11
12434;0.0;0.0;0.0
85372;1.0;0.0;0.45
24428;0.0;1.0;0.68
12440;0.0;0.0;0.0
73399;1.0;1.0;0.99
24420;0.0;0.0;0.01
1076;0.0;0.0;0.0
73397;0.0;0.0;0.08
24422;0.0;0.0;0.05
1074;0.0;0.0;0.0
73395;0.0;0.0;0.0
24424;0.0;0.0;0.42
1072;1.0;1.0;0.92
73393;0.0;0.0;0.0
24426;0.0;0.0;0.0
