Date and time	Latitude	Longitude	Speed (km/h)	Altitude (m)
2016/03/19 	11:34:01	43.297260	-116.659835	0.20	887.00
2016/03/19 	11:34:06	43.297268	-116.659817	0.60	885.00
2016/03/19 	11:34:11	43.297250	-116.659802	1.70	883.00
2016/03/19 	11:34:16	43.297230	-116.659832	0.60	888.00
2016/03/19 	11:34:21	43.297232	-116.659813	1.70	888.00
2016/03/19 	11:34:26	43.297230	-116.659822	0.80	890.00
2016/03/19 	11:34:31	43.297228	-116.659833	0.70	890.00
2016/03/19 	11:34:36	43.297243	-116.659823	0.90	889.00
2016/03/19 	11:34:41	43.297215	-116.659858	0.80	894.00
2016/03/19 	11:34:46	43.297217	-116.659847	1.10	893.00
2016/03/19 	11:34:51	43.297240	-116.659817	0.30	889.00
2016/03/19 	11:34:56	43.297220	-116.659833	0.60	891.00
2016/03/19 	11:35:01	43.297222	-116.659825	0.50	890.00
2016/03/19 	11:35:06	43.297212	-116.659822	3.00	889.00
2016/03/19 	11:35:11	43.297190	-116.659852	0.70	890.00
2016/03/19 	11:35:16	43.297232	-116.659830	3.20	889.00
2016/03/19 	11:35:21	43.297220	-116.659822	2.80	889.00
2016/03/19 	11:35:26	43.297213	-116.659832	1.80	889.00
2016/03/19 	11:35:31	43.297228	-116.659825	0.90	886.00
2016/03/19 	11:35:36	43.297238	-116.659808	2.10	883.00
2016/03/19 	11:35:41	43.297268	-116.659772	1.20	878.00
2016/03/19 	11:35:46	43.297248	-116.659787	0.30	880.00
2016/03/19 	11:35:51	43.297247	-116.659797	1.10	880.00
2016/03/19 	11:35:56	43.297247	-116.659817	0.30	883.00
2016/03/19 	11:35:56	43.297247	-116.659817	0.30	883.00
2016/03/19 	11:36:01	43.297262	-116.659820	3.70	885.00
2016/03/19 	11:36:06	43.297267	-116.659802	2.10	885.00
2016/03/19 	11:36:11	43.297272	-116.659792	0.30	884.00
2016/03/19 	11:36:16	43.297282	-116.659773	1.80	881.00
2016/03/19 	11:36:21	43.297275	-116.659782	1.70	883.00
2016/03/19 	11:36:26	43.297227	-116.659805	0.40	888.00
2016/03/19 	11:36:31	43.297227	-116.659807	0.60	892.00
2016/03/19 	11:36:36	43.297218	-116.659823	0.60	895.00
2016/03/19 	11:36:41	43.297215	-116.659842	0.70	899.00
2016/03/19 	11:36:46	43.297207	-116.659865	0.70	904.00
2016/03/19 	11:36:51	43.297215	-116.659813	0.40	894.00
2016/03/19 	11:36:57	43.297213	-116.659793	0.10	889.00
2016/03/19 	11:37:03	43.297215	-116.659783	0.20	888.00
2016/03/19 	11:37:08	43.297217	-116.659778	0.10	888.00
2016/03/19 	11:37:14	43.297217	-116.659777	0.30	888.00
2016/03/19 	11:37:19	43.297217	-116.659775	0.10	888.00
2016/03/19 	11:37:24	43.297217	-116.659773	0.20	888.00
2016/03/19 	11:37:30	43.297217	-116.659773	0.10	888.00
2016/03/19 	11:37:35	43.297217	-116.659772	0.10	888.00
2016/03/19 	11:37:41	43.297217	-116.659772	0.20	888.00
2016/03/19 	11:37:47	43.297217	-116.659772	0.20	887.00
2016/03/19 	11:37:52	43.297218	-116.659772	0.10	888.00
2016/03/19 	11:37:58	43.297218	-116.659770	0.20	887.00
2016/03/19 	11:38:03	43.297218	-116.659770	0.00	887.00
2016/03/19 	11:38:08	43.297220	-116.659772	0.10	887.00
2016/03/19 	11:38:13	43.297222	-116.659772	0.00	887.00
2016/03/19 	11:38:19	43.297223	-116.659772	0.10	887.00
2016/03/19 	11:38:24	43.297225	-116.659772	0.10	887.00
2016/03/19 	11:38:29	43.297225	-116.659772	0.10	887.00
2016/03/19 	11:38:34	43.297227	-116.659770	0.10	887.00
2016/03/19 	11:38:40	43.297228	-116.659772	0.10	887.00
2016/03/19 	11:38:45	43.297228	-116.659770	0.10	887.00
2016/03/19 	11:38:50	43.297228	-116.659770	0.00	886.00
2016/03/19 	11:38:55	43.297230	-116.659770	0.20	886.00
2016/03/19 	11:39:01	43.297232	-116.659768	0.10	886.00
2016/03/19 	11:39:07	43.297233	-116.659768	0.20	886.00
2016/03/19 	11:39:12	43.297233	-116.659767	0.10	886.00
2016/03/19 	11:39:17	43.297233	-116.659767	0.10	886.00
2016/03/19 	11:39:23	43.297235	-116.659765	0.10	886.00
2016/03/19 	11:39:28	43.297235	-116.659765	0.10	886.00
2016/03/19 	11:39:33	43.297235	-116.659765	0.20	886.00
2016/03/19 	11:39:38	43.297235	-116.659763	0.20	886.00
2016/03/19 	11:39:43	43.297235	-116.659762	0.20	886.00
2016/03/19 	11:39:48	43.297233	-116.659760	0.10	886.00
2016/03/19 	11:39:53	43.297235	-116.659762	0.10	886.00
2016/03/19 	11:39:58	43.297235	-116.659763	0.10	886.00
2016/03/19 	11:40:03	43.297235	-116.659763	0.10	886.00
2016/03/19 	11:40:08	43.297235	-116.659765	0.10	886.00
2016/03/19 	11:40:13	43.297237	-116.659765	0.10	886.00
2016/03/19 	11:40:18	43.297235	-116.659767	0.10	885.00
2016/03/19 	11:40:23	43.297237	-116.659767	0.10	885.00
2016/03/19 	11:40:29	43.297237	-116.659768	0.10	885.00
2016/03/19 	11:40:34	43.297237	-116.659768	0.10	885.00
2016/03/19 	11:40:39	43.297238	-116.659770	0.10	885.00
2016/03/19 	11:40:45	43.297238	-116.659768	0.10	885.00
2016/03/19 	11:40:50	43.297238	-116.659770	0.10	886.00
2016/03/19 	11:40:56	43.297240	-116.659768	0.10	886.00
2016/03/19 	11:41:01	43.297240	-116.659768	0.10	886.00
2016/03/19 	11:41:06	43.297240	-116.659768	0.10	886.00
2016/03/19 	11:41:11	43.297240	-116.659768	0.10	885.00
2016/03/19 	11:41:17	43.297242	-116.659768	0.10	886.00
2016/03/19 	11:41:22	43.297242	-116.659767	0.10	886.00
2016/03/19 	11:41:27	43.297240	-116.659768	0.10	886.00
2016/03/19 	11:41:33	43.297240	-116.659767	0.10	886.00
2016/03/19 	11:41:39	43.297240	-116.659767	0.00	886.00
2016/03/19 	11:41:44	43.297240	-116.659767	0.10	886.00
2016/03/19 	11:41:49	43.297242	-116.659767	0.00	886.00
2016/03/19 	11:41:55	43.297242	-116.659768	0.10	885.00
2016/03/19 	11:42:00	43.297240	-116.659767	0.00	885.00
2016/03/19 	11:42:05	43.297240	-116.659767	0.20	885.00
2016/03/19 	11:42:10	43.297240	-116.659765	0.20	885.00
2016/03/19 	11:42:16	43.297238	-116.659763	0.10	885.00
2016/03/19 	11:42:21	43.297238	-116.659762	0.20	885.00
2016/03/19 	11:42:26	43.297238	-116.659762	0.10	885.00
2016/03/19 	11:42:32	43.297238	-116.659760	0.10	885.00
2016/03/19 	11:42:37	43.297238	-116.659760	0.10	885.00
2016/03/19 	11:42:42	43.297238	-116.659760	0.10	885.00
2016/03/19 	11:42:47	43.297238	-116.659760	0.10	885.00
2016/03/19 	11:42:53	43.297238	-116.659760	0.20	885.00
2016/03/19 	11:42:58	43.297237	-116.659757	0.20	885.00
2016/03/19 	11:43:03	43.297237	-116.659757	0.10	885.00
2016/03/19 	11:43:09	43.297235	-116.659757	0.10	885.00
2016/03/19 	11:43:15	43.297235	-116.659757	0.10	885.00
2016/03/19 	11:43:20	43.297235	-116.659757	0.10	885.00
